"","구코드","동코드","위도","경도"
"300","680","10700",37.4924546,127.0583374
"301","680","10700",37.4854841,127.0833309
"302","680","10700",37.4954996,127.0859244
"303","680","11400",37.5146928,127.0635172
"304","680","11400",37.4890981,127.1046654
"305","680","11400",37.4881986,127.0529504
"306","680","10300",37.4879706,127.0553607
"307","680","10300",37.4879831,127.0556028
"308","680","11400",37.4894106,127.0560385
"309","680","10400",37.5160595,127.1158113
"310","680","10600",37.5165545,127.1160379
"311","680","10700",37.5048425,127.0863127
"312","680","10700",37.4901929,127.062053
"313","680","10400",37.5055002,127.1208289
"314","680","11100",37.5176266,127.011121
"315","680","11100",37.5170922,127.0105808
"316","680","11100",37.5171916,127.0103124
"317","680","10300",37.5162201,127.0118508
"318","680","11400",37.5163012,127.0120689
"319","680","11800",37.5164902,127.0099777
"320","680","10100",37.5021971,127.0364726
"321","680","10600",37.5176111,127.0230988
"322","680","10700",37.4855763,127.0832949
"323","680","11400",37.5218336,127.022677
"324","680","10700",37.5212294,127.0300893
"325","680","10700",37.5213112,127.0301046
"326","680","10700",37.5198116,127.0291144
"327","680","11800",37.5217837,127.0280622
"328","680","10400",37.5303224,127.107425
"329","680","10700",37.514355,127.107905
"330","680","10700",37.5150532,127.113717
"331","680","10400",37.5160644,127.116477
"332","680","10400",37.4991126,127.1224206
"333","680","10400",37.4991503,127.1225418
"334","680","11400",37.4911448,127.1009756
"335","680","10700",37.5174067,127.1129088
"336","680","10700",37.5319269,127.1062758
"337","680","11800",37.5023113,127.0362409
"338","680","10700",37.4944664,127.1094222
"339","680","11400",37.5082059,127.067698
"340","680","10700",37.5044142,127.0877329
"341","680","10700",37.5049335,127.0864911
"342","680","10600",37.516428,127.1153827
"343","680","10400",37.5276902,127.0830405
"344","680","11400",37.5214858,127.0228852
"345","680","10400",37.5325655,127.0916201
"346","680","10300",37.4889457,127.0573201
"347","680","10700",37.4901657,127.0533498
"348","680","10700",37.4907576,127.0614057
"349","680","10800",37.4901086,127.0615177
"350","680","10200",37.5025442,127.059108
"351","680","10100",37.517609,127.0402157
"352","680","10500",37.5051138,127.0647856
"353","680","10500",37.4909623,127.0805347
"354","680","10400",37.4917815,127.1167492
"355","680","10400",37.5235358,127.0372913
"356","680","11000",37.5088135,127.0567244
"357","680","11000",37.5087356,127.056712
"358","680","11400",37.5216883,127.03355
"359","680","10500",37.521735,127.033772
"360","680","10500",37.5201083,127.022957
"361","680","11200",37.5186913,127.0408718
"362","680","10800",37.5018578,127.0545535
"363","680","10400",37.5177858,127.0517563
"364","680","10400",37.5177396,127.0518507
"365","680","10600",37.527686,127.0335875
"366","680","10100",37.5162556,127.0841894
"367","680","10500",37.5205699,127.0229502
"368","680","10600",37.5222892,127.0236238
"369","680","10200",37.5221987,127.0260578
"370","680","11800",37.4975972,127.0542519
"371","680","10100",37.4824817,127.1048364
"372","680","10600",37.5207912,127.0400756
"373","680","10600",37.5205878,127.0400163
"374","680","10600",37.4659902,127.0430706
"375","680","10600",37.5307215,127.0304062
"376","680","10800",37.5012601,127.0671898
"377","680","10700",37.5248271,127.0386103
"378","680","10600",37.5244821,127.1167973
"379","680","10200",37.4924078,127.0837754
"380","680","11800",37.4844226,127.0932367
"381","680","10500",37.4888925,127.0743719
"382","680","11400",37.5114786,127.0956661
"383","680","10500",37.4676067,127.0412518
"384","680","10200",37.4656664,127.0425648
"385","680","10500",37.4908059,127.0969989
"386","680","10400",37.5235669,127.0372005
"387","680","10500",37.5255057,127.0416252
"388","680","10100",37.5128972,127.043036
"389","680","11000",37.5087587,127.0565741
"390","680","10100",37.5006372,127.0511066
"391","680","10100",37.5279035,127.051592
"392","680","11800",37.5283816,127.0493806
"393","680","10100",37.5004026,127.0438178
"394","680","10100",37.502,127.0454868
"395","680","10100",37.4955849,127.066815
"396","680","10100",37.4951351,127.0658555
"397","680","10800",37.5080647,127.0549414
"398","680","10800",37.5214429,127.0386966
"399","680","10400",37.5188072,127.0348513
"400","680","10600",37.4995046,127.1022931
"401","680","10400",37.498426,127.0966524
"402","680","11800",37.4836722,127.0865391
"403","680","10700",37.5173016,127.0387219
"404","680","10600",37.5209816,127.0397523
"405","680","10800",37.5178038,127.0437232
"406","680","10500",37.4936107,127.0868564
"407","680","10500",37.4945243,127.0822434
"408","680","10600",37.4916455,127.0878571
"409","680","10100",37.4656099,127.0434529
"410","680","10100",37.5039031,127.0494048
"411","680","10800",37.5035026,127.0514342
"412","680","10300",37.5192856,127.0403924
"413","680","10300",37.5226376,127.0256521
"414","680","10500",37.4734557,127.0491859
"415","680","10100",37.5114383,127.0228219
"416","680","10100",37.4928295,127.0137146
"417","680","10100",37.4940327,127.0142228
"418","680","10100",37.4945494,127.0142554
"419","680","10800",37.494386,127.0136972
"420","680","10800",37.4942935,127.0134235
"421","680","10800",37.4976273,127.0239049
"422","680","10800",37.4938911,127.0335088
"423","680","10800",37.4941451,127.0336452
"424","680","10100",37.518465,127.0232822
"425","680","10100",37.5189681,127.0232044
"426","680","10100",37.5195181,127.0231858
"427","680","10100",37.5197101,127.0230898
"428","680","11000",37.5084208,127.057471
"429","680","10300",37.5091256,127.079583
"430","680","10200",37.5216337,127.0235206
"431","680","10500",37.5183025,127.0427358
"432","680","10400",37.5025379,127.0566693
"433","680","10100",37.5052842,127.0413211
"434","680","11800",37.4916744,127.0823051
"435","680","10700",37.5256107,127.040688
"436","680","10100",37.4952155,127.0667018
"437","680","10500",37.5013514,127.0597495
"438","680","10400",37.5140008,127.0332807
"439","680","10600",37.5190502,127.0501102
"440","680","11400",37.5064604,127.0986311
"441","680","11400",37.4872878,127.0707075
"442","680","10800",37.5212902,127.0267871
"443","680","10800",37.5208819,127.0271031
"444","680","10400",37.5208102,127.02724
"445","680","10800",37.5215994,127.0340551
"446","680","10500",37.5223802,127.0274516
"447","680","10500",37.521387,127.0341625
"448","680","10500",37.5207047,127.0339782
"449","680","10500",37.5208272,127.0343847
"450","680","10500",37.5202722,127.0346152
"451","680","10800",37.4877264,127.0731129
"452","680","10800",37.4862203,127.0750872
"453","680","10800",37.4859171,127.0756407
"454","680","10400",37.5248698,127.0526757
"455","680","11400",37.5257354,127.0401261
"456","680","11400",37.5257948,127.0398363
"457","680","11400",37.50247,127.1039955
"458","680","10600",37.5145247,127.1030899
"459","680","10600",37.5159072,127.1036911
"460","680","10400",37.4876425,127.103865
"461","680","10100",37.4989657,127.0611432
"462","680","10600",37.5192687,127.0483071
"463","680","10100",37.5029991,127.0498841
"464","680","10600",37.5029985,127.0498851
"465","680","10100",37.503063,127.0503695
"466","680","11500",37.5201069,127.1139985
"467","680","10500",37.4895057,127.1093137
"468","680","10600",37.4758269,127.0582609
"469","680","10600",37.5235004,127.0416003
"470","680","10800",37.4851228,127.0582732
"471","680","10800",37.5197876,127.0549432
"472","680","10700",37.5193914,127.0451322
"473","680","10200",37.5030039,127.0580886
"474","680","10100",37.4769941,127.0555385
"475","680","11000",37.5079445,127.0577055
"476","680","11000",37.5083328,127.0556512
"477","680","11000",37.5084834,127.0559601
"478","680","10600",37.5132935,127.0531834
"479","680","10500",37.5263674,127.0461456
"480","680","10500",37.503317,127.051138
"481","680","10500",37.5032018,127.0507529
"482","680","10500",37.5069061,127.0521101
"483","680","10700",37.5069244,127.0523093
"484","680","10100",37.5291197,127.0354057
"485","680","10600",37.5266457,127.0287033
"486","680","10100",37.5004352,127.0266937
"487","680","10600",37.5157132,127.0417197
"488","680","10600",37.5150804,127.0419392
"489","680","10300",37.5143424,127.0424614
"490","680","10600",37.4859456,127.0519759
"491","680","10300",37.4864189,127.0526898
"492","680","10100",37.4873068,127.0520655
"493","680","10100",37.4876658,127.0517985
"494","680","10100",37.4848917,127.0504035
"495","680","11000",37.5268415,127.113043
"496","680","11400",37.5260445,127.0387406
"497","680","10800",37.5214082,127.0387938
"498","680","10800",37.5214687,127.0388293
"499","680","10800",37.521792,127.0395803
"500","680","10800",37.50781,127.0542928
"501","680","10200",37.4654364,127.0428378
"502","680","10200",37.4645246,127.0418786
"503","680","10500",37.463899,127.0409854
"504","680","10500",37.4735731,127.048877
"505","680","10400",37.5214792,127.0336588
"506","680","10500",37.5212535,127.0337203
"507","680","10400",37.5089192,127.1038545
"508","680","10400",37.5089399,127.1042191
"509","680","10800",37.5106427,127.0578467
"510","680","10800",37.5251809,127.0481817
"511","680","10800",37.5250634,127.0527733
"512","680","10800",37.5014912,127.0533981
"513","680","10400",37.5024147,127.0565498
"514","680","11800",37.4835362,127.0866741
"515","680","11800",37.5035423,127.0798457
"516","680","11200",37.5113403,127.0735864
"517","680","10700",37.5175212,127.0394518
"518","680","10800",37.4873834,127.0621212
"519","680","10800",37.5132758,127.0553391
"520","680","11000",37.5234337,127.0225161
"521","680","10100",37.5193199,127.0230771
"522","680","10500",37.5057147,127.0528453
"523","680","10600",37.5140732,127.0424527
"524","680","10800",37.4951175,127.0368469
"525","680","10100",37.4655344,127.0432582
"526","680","11400",37.4997769,127.0588022
"527","680","11000",37.507572,127.0377591
"528","680","10100",37.5176601,127.0401121
"529","680","10100",37.4762053,127.1059712
"530","680","10600",37.4834669,127.0635311
"531","680","10800",37.4874052,127.0619408
"532","680","10600",37.5232452,127.0233215
"533","680","10800",37.5084858,127.025537
"534","680","10400",37.5021346,127.0560008
"535","680","10400",37.5027012,127.0571655
"536","680","10500",37.4952985,127.0452051
"537","680","10800",37.5227207,127.0382836
"538","680","10500",37.5180764,127.041819
"539","680","10800",37.5253962,127.0499373
"540","680","11500",37.524811,127.0396482
"541","680","10600",37.5243713,127.033327
"542","680","10600",37.5255525,127.0334965
"543","680","10400",37.4859443,127.0457526
"544","680","10400",37.4854619,127.0461056
"545","680","10600",37.5219392,127.0411276
"546","680","10800",37.5215103,127.0387531
"547","680","11300",37.5098214,127.0584611
"548","680","10100",37.4658716,127.0431598
"549","680","10100",37.4652885,127.0429766
"550","680","10200",37.4994895,127.0538403
"551","680","10200",37.4981934,127.0541401
"552","680","10200",37.498116,127.0540549
"553","680","10200",37.498082,127.0536015
"554","680","11400",37.5246986,127.0528748
