"","구코드","동코드","위도","경도"
"203","560","11000",37.5222404,126.9193424
"204","560","13200",37.5000307,126.9159448
"205","560","13200",37.5113093,126.8852385
"206","560","13200",37.5113704,126.8849052
"207","560","13300",37.5019536,126.948912
"208","560","13300",37.4999189,126.9200835
"209","560","13300",37.5023683,126.9480957
"210","560","13300",37.4956813,126.8893888
"211","560","13300",37.4953362,126.8889822
"212","560","11000",37.4924131,126.8957202
"213","560","11000",37.5208146,126.9285657
"214","560","11000",37.5293546,126.9235977
"215","560","13300",37.4932573,126.8971739
"216","560","13200",37.5062429,126.8840864
"217","560","13200",37.5063372,126.9217204
"218","560","13300",37.507228,126.9200749
"219","560","13300",37.5073613,126.9195059
"220","560","13300",37.5073117,126.9193968
"221","560","13300",37.514968,126.9175874
"222","560","11000",37.5131959,126.9366558
"223","560","11000",37.5145322,126.9265765
"224","560","11000",37.5128915,126.9235818
"225","560","11000",37.5202892,126.9392117
"226","560","11000",37.5283056,126.9242132
"227","560","11000",37.5288681,126.9249499
"228","560","13200",37.4994973,126.9055108
"229","560","13300",37.4979532,126.9037778
"230","560","13300",37.4897062,126.8917724
"231","560","11000",37.525465,126.930166
"232","560","11000",37.5262628,126.9135897
"233","560","11000",37.5232211,126.9156291
"234","560","13200",37.5000826,126.9059046
"235","560","13300",37.5192305,126.9265274
"236","560","11000",37.5272891,126.9163226
"237","560","13300",37.4956462,126.8945077
"238","560","12200",37.5058826,126.8835253
"239","560","13300",37.494108,126.8929718
"240","560","13300",37.5066374,126.9213187
"241","560","11000",37.520654,126.9255784
"242","560","13300",37.5107354,126.8821172
"243","560","13300",37.5123067,126.8814408
"244","560","11000",37.5286346,126.9247645
"245","560","13200",37.4943961,126.9166072
"246","560","13200",37.4942389,126.9163874
"247","560","13200",37.4936758,126.9161419
"248","560","13200",37.4937069,126.9149958
"249","560","13200",37.4966008,126.9129344
"250","560","13200",37.5058244,126.9071099
"251","560","13200",37.5174124,126.9167598
"252","560","13200",37.501236,126.8908711
"253","560","13200",37.5162905,126.9133189
"254","560","13200",37.4965916,126.9141654
"255","560","11800",37.4980741,126.92624
"256","560","11000",37.525978,126.9176175
