"","long","lat","order","hole","piece","id","group"
"130",127.06898093,37.50940873,34333,FALSE,"1","11680","11680.1"
"131",127.06900426,37.50921951,34334,FALSE,"1","11680","11680.1"
"132",127.06902129,37.50908153,34335,FALSE,"1","11680","11680.1"
"133",127.06904391,37.50889823,34336,FALSE,"1","11680","11680.1"
"134",127.06906269,37.50874673,34337,FALSE,"1","11680","11680.1"
"135",127.06908164,37.50859272,34338,FALSE,"1","11680","11680.1"
"136",127.06911689,37.50830691,34339,FALSE,"1","11680","11680.1"
"137",127.06912847,37.50821342,34340,FALSE,"1","11680","11680.1"
"138",127.06914478,37.50807939,34341,FALSE,"1","11680","11680.1"
"139",127.06915794,37.50797182,34342,FALSE,"1","11680","11680.1"
"140",127.069179,37.50779949,34343,FALSE,"1","11680","11680.1"
"141",127.0692311,37.50737374,34344,FALSE,"1","11680","11680.1"
"142",127.06924829,37.5072338,34345,FALSE,"1","11680","11680.1"
"143",127.06926566,37.50709216,34346,FALSE,"1","11680","11680.1"
"144",127.06929301,37.50686577,34347,FALSE,"1","11680","11680.1"
"145",127.06933425,37.50652393,34348,FALSE,"1","11680","11680.1"
"146",127.06936774,37.50624714,34349,FALSE,"1","11680","11680.1"
"147",127.06962031,37.50414739,34350,FALSE,"1","11680","11680.1"
"148",127.06970044,37.50346567,34351,FALSE,"1","11680","11680.1"
"149",127.06978952,37.50290926,34352,FALSE,"1","11680","11680.1"
"150",127.06981676,37.50273919,34353,FALSE,"1","11680","11680.1"
"151",127.0700765,37.50271426,34354,FALSE,"1","11680","11680.1"
"152",127.07021431,37.50270094,34355,FALSE,"1","11680","11680.1"
"153",127.07057017,37.50266695,34356,FALSE,"1","11680","11680.1"
"154",127.07076048,37.50264825,34357,FALSE,"1","11680","11680.1"
"155",127.07137554,37.50258932,34358,FALSE,"1","11680","11680.1"
"156",127.07193777,37.5025355,34359,FALSE,"1","11680","11680.1"
"157",127.07216102,37.50251424,34360,FALSE,"1","11680","11680.1"
"158",127.07227118,37.50250376,34361,FALSE,"1","11680","11680.1"
"159",127.07288766,37.5024468,34362,FALSE,"1","11680","11680.1"
"160",127.07341455,37.50239946,34363,FALSE,"1","11680","11680.1"
"161",127.07379292,37.50236784,34364,FALSE,"1","11680","11680.1"
"162",127.07423511,37.50232518,34365,FALSE,"1","11680","11680.1"
"163",127.0743535,37.50231441,34366,FALSE,"1","11680","11680.1"
"164",127.07476112,37.50227699,34367,FALSE,"1","11680","11680.1"
"165",127.07487437,37.50226679,34368,FALSE,"1","11680","11680.1"
"166",127.07497545,37.50225744,34369,FALSE,"1","11680","11680.1"
"167",127.0750956,37.50224638,34370,FALSE,"1","11680","11680.1"
"168",127.07538537,37.50221945,34371,FALSE,"1","11680","11680.1"
"169",127.07560234,37.50219989,34372,FALSE,"1","11680","11680.1"
"170",127.07593575,37.50216983,34373,FALSE,"1","11680","11680.1"
"171",127.07614478,37.50214971,34374,FALSE,"1","11680","11680.1"
"172",127.07616811,37.50214744,34375,FALSE,"1","11680","11680.1"
"173",127.07621068,37.50214319,34376,FALSE,"1","11680","11680.1"
"174",127.0762849,37.50213582,34377,FALSE,"1","11680","11680.1"
"175",127.07637995,37.50212647,34378,FALSE,"1","11680","11680.1"
"176",127.07653014,37.50211258,34379,FALSE,"1","11680","11680.1"
"177",127.07683582,37.50208395,34380,FALSE,"1","11680","11680.1"
"178",127.07693528,37.50207431,34381,FALSE,"1","11680","11680.1"
"179",127.07698758,37.50206977,34382,FALSE,"1","11680","11680.1"
"180",127.07714092,37.50201871,34383,FALSE,"1","11680","11680.1"
"181",127.07763924,37.50185311,34384,FALSE,"1","11680","11680.1"
"182",127.07821404,37.50166212,34385,FALSE,"1","11680","11680.1"
"183",127.07992606,37.50108999,34386,FALSE,"1","11680","11680.1"
"184",127.08046553,37.50090971,34387,FALSE,"1","11680","11680.1"
"185",127.08073049,37.50082141,34388,FALSE,"1","11680","11680.1"
"186",127.08119417,37.50066736,34389,FALSE,"1","11680","11680.1"
"187",127.0813482,37.5006163,34390,FALSE,"1","11680","11680.1"
"188",127.08157978,37.50053927,34391,FALSE,"1","11680","11680.1"
"189",127.08164125,37.50051868,34392,FALSE,"1","11680","11680.1"
"190",127.08173134,37.50048877,34393,FALSE,"1","11680","11680.1"
